Endenergieverbrauch nach Energieträgern ,,,,,,,,,,T 8.3.2.1
In TJ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Total ,Erdöl- ,Treibstoffe 1),Elektrizität,Gas,Kohle und,Holz und,Fernwärme 3),Abfälle 4),Übrige 
,,brennstoffe 1),,,,Koks,Holzkohle 2),,,erneuerbare
,,,,,,,,,,Energien 5)
,,,,,,,,,,
,,,,,,,,,,
Jahr,Total TJ ,Erdölbrennstoffe TJ ,Treibstoffe TJ ,Elektrizität TJ ,Gas TJ ,Kohle und Koks TJ ,Holz und Holzkohle TJ ,Fernwärme TJ ,Abfälle TJ ,Übrige erneuerbare Energien TJ 
1910,99’990,240,500,3’530,2’220,76’310,17’190,...,...,...
1911,109’490,340,620,4’330,2’350,84’660,17’190,...,...,...
1912,111’190,350,660,5’040,2’570,85’380,17’190,...,...,...
1913,115’670,340,690,5’450,2’550,89’450,17’190,...,...,...
1914,112’640,150,520,5’670,2’570,86’900,16’830,...,...,...
1915,112’061,41,450,6’240,2’660,87’740,14’930,...,...,...
1916,105’292,12,170,6’840,2’900,82’780,12’590,...,...,...
1917,92’023,3,310,7’560,2’190,68’380,13’580,...,...,...
1918,92’820,10,290,8’390,1’920,63’880,18’330,...,...,...
1919,78’989,49,590,8’140,1’850,48’610,19’750,...,...,...
1920,93’120,370,1’490,7’630,2’000,64’140,17’490,...,...,...
1921,75’820,390,960,7’200,2’000,48’510,16’760,...,...,...
1922,92’080,1’010,1’640,7’850,2’110,60’480,18’990,...,...,...
1923,111’260,1’200,1’870,8’570,2’260,75’480,21’880,...,...,...
1924,106’810,1’520,2’000,9’760,2’400,70’060,21’070,...,...,...
1925,109’960,1’560,2’920,10’330,2’570,72’650,19’930,...,...,...
1926,110’530,1’760,3’190,10’870,2’720,71’980,20’010,...,...,...
1927,121’120,2’010,3’980,11’560,2’900,81’560,19’110,...,...,...
1928,122’790,2’370,4’950,12’240,3’100,80’710,19’420,...,...,...
1929,139’290,2’980,5’860,13’050,3’330,94’010,20’060,...,...,...
1930,130’480,3’310,6’690,12’830,3’470,84’870,19’310,...,...,...
